customer_id,gender,senior_citizen,partner,dependents,tenure_months,contract_type,paperless_billing,payment_method,internet_service,online_security,tech_support,customer_service_calls,monthly_charges,total_charges,churn
CUST_0061,Male,0,Yes,Yes,9,Month-to-Month,Yes,Bank Transfer (automatic),Fiber Optic,No,No,2,65.57,598.5,1
CUST_0062,Male,0,Yes,Yes,39,Two-Year,Yes,Mailed Check,DSL,No,No,1,40.66,1584.65,0
CUST_0063,Male,0,No,No,29,Month-to-Month,Yes,Credit Card (automatic),Fiber Optic,No,Yes,1,84.8,2536.62,0
CUST_0064,Male,0,Yes,No,10,Month-to-Month,Yes,Electronic Check,DSL,No,No,3,43.72,452.82,0
CUST_0065,Female,0,No,No,18,Month-to-Month,No,Credit Card (automatic),Fiber Optic,No,Yes,3,78.04,1417.48,0
CUST_0066,Female,0,No,No,11,Month-to-Month,Yes,Mailed Check,Fiber Optic,No,No,1,63.58,672.63,0
CUST_0067,Male,0,Yes,No,64,Month-to-Month,Yes,Electronic Check,Fiber Optic,No,Yes,0,80.15,5081.47,1
CUST_0068,Male,0,No,Yes,32,One-Year,Yes,Electronic Check,DSL,Yes,No,2,57.52,1865.39,0
CUST_0069,Male,0,No,No,62,One-Year,No,Mailed Check,Fiber Optic,No,No,2,68.87,4083.28,1
CUST_0070,Male,0,Yes,No,40,One-Year,No,Electronic Check,Fiber Optic,Yes,Yes,0,88.69,3377.28,1
CUST_0071,Female,0,No,No,38,One-Year,Yes,Mailed Check,No,No internet service,No internet service,1,18.5,734.52,0
CUST_0072,Male,0,Yes,Yes,16,One-Year,Yes,Credit Card (automatic),No,No internet service,No internet service,4,22.22,363.7,0
CUST_0073,Female,0,No,No,20,Month-to-Month,Yes,Mailed Check,No,No internet service,No internet service,1,26.33,508.33,1
CUST_0074,Female,0,Yes,Yes,5,Month-to-Month,Yes,Mailed Check,DSL,Yes,Yes,0,69.19,344.05,0
CUST_0075,Male,0,No,Yes,5,One-Year,No,Credit Card (automatic),No,No internet service,No internet service,2,24.13,116.95,0
CUST_0076,Male,0,Yes,No,70,One-Year,Yes,Credit Card (automatic),DSL,No,No,2,47.88,3187.47,0
CUST_0077,Male,0,No,No,2,Month-to-Month,Yes,Electronic Check,No,No internet service,No internet service,0,18.5,36.6,0
CUST_0078,Female,0,Yes,Yes,12,One-Year,Yes,Bank Transfer (automatic),Fiber Optic,No,No,2,73.75,898.13,0
CUST_0079,Female,0,No,No,18,Month-to-Month,No,Mailed Check,Fiber Optic,Yes,No,3,86.5,1627.71,0
CUST_0080,Male,0,No,No,44,Month-to-Month,Yes,Electronic Check,Fiber Optic,No,No,3,68.06,3075.45,1
CUST_0081,Female,0,Yes,Yes,43,Two-Year,No,Electronic Check,No,No internet service,No internet service,0,20.07,839.72,0
CUST_0082,Female,0,No,No,2,Month-to-Month,Yes,Electronic Check,DSL,No,Yes,1,54.74,107.69,1
CUST_0083,Male,0,Yes,No,1,Month-to-Month,No,Mailed Check,Fiber Optic,No,Yes,1,76.97,77.13,1
CUST_0084,Male,0,No,No,10,Two-Year,Yes,Electronic Check,DSL,No,No,2,49.09,475.74,0
CUST_0085,Female,0,No,No,4,Month-to-Month,Yes,Mailed Check,DSL,No,Yes,0,63.41,262.08,1
CUST_0086,Female,0,No,No,49,Two-Year,No,Bank Transfer (automatic),No,No internet service,No internet service,5,19.75,935.62,0
CUST_0087,Female,0,No,Yes,58,Month-to-Month,No,Bank Transfer (automatic),DSL,Yes,No,1,54.86,3115.05,0
CUST_0088,Female,0,Yes,Yes,29,One-Year,Yes,Bank Transfer (automatic),DSL,Yes,No,0,61.27,1790.62,0
CUST_0089,Female,0,Yes,No,3,Month-to-Month,No,Bank Transfer (automatic),Fiber Optic,No,Yes,0,86.7,250.3,0
CUST_0090,Male,0,Yes,No,40,Month-to-Month,No,Credit Card (automatic),DSL,Yes,Yes,0,65.54,2654.27,0
CUST_0091,Female,0,No,No,47,Two-Year,Yes,Credit Card (automatic),No,No internet service,No internet service,0,20.56,1009.25,0
CUST_0092,Female,0,Yes,No,18,Two-Year,No,Credit Card (automatic),DSL,No,No,6,52.92,970.8,0
CUST_0093,Female,0,No,No,12,Month-to-Month,Yes,Electronic Check,DSL,Yes,No,1,64.29,795.61,0
CUST_0094,Male,0,No,No,51,Two-Year,No,Electronic Check,Fiber Optic,No,Yes,5,78.3,3968.74,0
CUST_0095,Male,0,Yes,No,6,Month-to-Month,Yes,Mailed Check,Fiber Optic,No,No,3,64.43,381.37,1
CUST_0096,Male,0,No,No,9,Month-to-Month,Yes,Mailed Check,Fiber Optic,No,No,2,71.4,631.59,1
CUST_0097,Male,0,Yes,No,35,One-Year,No,Electronic Check,DSL,Yes,No,1,59.85,2128.36,0
CUST_0098,Male,0,Yes,Yes,14,Month-to-Month,Yes,Electronic Check,DSL,Yes,No,1,59.88,839.87,1
CUST_0099,Female,0,No,No,3,Month-to-Month,Yes,Credit Card (automatic),No,No internet service,No internet service,0,22.18,66.36,0
CUST_0100,Female,0,Yes,No,56,One-Year,No,Mailed Check,DSL,Yes,No,2,58.13,3125.31,0
CUST_0101,Male,0,Yes,No,62,Two-Year,No,Mailed Check,Fiber Optic,No,No,2,68.3,4308.02,0
CUST_0102,Female,0,No,No,47,One-Year,Yes,Electronic Check,Fiber Optic,Yes,No,2,79.47,3819.27,0
CUST_0103,Male,0,Yes,No,47,Two-Year,Yes,Bank Transfer (automatic),No,No internet service,No internet service,2,23.22,1058.18,0
CUST_0104,Male,0,No,No,4,Month-to-Month,No,Mailed Check,DSL,No,No,3,42.18,173.1,0
CUST_0105,Male,0,No,No,13,One-Year,Yes,Electronic Check,DSL,Yes,No,1,50.33,679.11,0
CUST_0106,Female,0,Yes,Yes,28,One-Year,Yes,Credit Card (automatic),DSL,No,Yes,0,57.58,1559.78,0
CUST_0107,Male,1,Yes,No,20,One-Year,Yes,Credit Card (automatic),Fiber Optic,No,Yes,2,83.14,1654.83,1
CUST_0108,Male,0,No,No,15,Two-Year,Yes,Bank Transfer (automatic),Fiber Optic,No,No,0,77.69,1209.19,0
CUST_0109,Male,0,Yes,No,59,Month-to-Month,Yes,Credit Card (automatic),Fiber Optic,Yes,No,0,82.13,4839.52,0
CUST_0110,Female,0,Yes,Yes,13,Month-to-Month,No,Mailed Check,Fiber Optic,No,No,2,64.69,867.48,1
CUST_0111,Male,0,No,No,9,Two-Year,No,Bank Transfer (automatic),DSL,Yes,Yes,1,73.88,646.02,1
CUST_0112,Female,0,Yes,No,3,Month-to-Month,Yes,Electronic Check,DSL,No,Yes,1,56.8,162.97,0
CUST_0113,Female,0,No,No,65,Two-Year,Yes,Bank Transfer (automatic),No,No internet service,No internet service,0,19.36,1202.96,0
CUST_0114,Female,1,Yes,No,56,Two-Year,Yes,Electronic Check,No,No internet service,No internet service,0,18.5,1084.94,0
CUST_0115,Female,0,Yes,Yes,1,Month-to-Month,Yes,Electronic Check,DSL,No,No,1,47.04,45.46,1
CUST_0116,Male,0,Yes,No,48,One-Year,Yes,Mailed Check,DSL,No,No,0,45.63,2270.16,0
CUST_0117,Male,0,No,Yes,21,Month-to-Month,No,Electronic Check,DSL,No,No,0,45.32,934.18,0
CUST_0118,Female,0,No,No,67,Two-Year,Yes,Mailed Check,Fiber Optic,No,Yes,0,85.75,5481.02,0
CUST_0119,Male,0,No,No,26,Month-to-Month,No,Bank Transfer (automatic),No,No internet service,No internet service,0,24.24,613.92,0
CUST_0120,Female,0,Yes,No,33,One-Year,No,Bank Transfer (automatic),DSL,No,No,0,46.28,1528.08,0
CUST_0121,Female,0,Yes,No,19,Month-to-Month,Yes,Electronic Check,No,No internet service,No internet service,0,22.15,404.3,0
CUST_0122,Female,0,Yes,No,10,Month-to-Month,Yes,Electronic Check,No,No internet service,No internet service,4,21.39,222.93,0
CUST_0123,Female,0,No,No,28,Month-to-Month,No,Bank Transfer (automatic),DSL,No,No,3,51.69,1505.2,0
CUST_0124,Female,0,No,No,2,One-Year,No,Bank Transfer (automatic),Fiber Optic,No,Yes,0,78.37,151.24,0
CUST_0125,Female,0,No,Yes,49,One-Year,No,Electronic Check,DSL,No,No,1,40.66,2039.58,1
CUST_0126,Male,1,Yes,Yes,31,One-Year,Yes,Bank Transfer (automatic),DSL,No,No,3,40.25,1242.85,0
CUST_0127,Female,0,No,Yes,64,Two-Year,No,Credit Card (automatic),DSL,Yes,No,1,59.07,3962.75,0
CUST_0128,Male,0,Yes,Yes,68,Two-Year,Yes,Electronic Check,Fiber Optic,Yes,No,2,81.55,5298.85,0
CUST_0129,Male,0,No,Yes,27,Two-Year,Yes,Mailed Check,DSL,Yes,Yes,1,64.57,1738.34,0
CUST_0130,Female,0,Yes,Yes,2,Month-to-Month,Yes,Electronic Check,No,No internet service,No internet service,2,19.23,37.63,0
CUST_0131,Male,0,No,Yes,13,One-Year,Yes,Credit Card (automatic),No,No internet service,No internet service,2,28.63,380.62,0
CUST_0132,Male,0,Yes,No,3,Month-to-Month,No,Electronic Check,Fiber Optic,No,No,1,71.71,206.76,1
CUST_0133,Male,0,Yes,Yes,64,Two-Year,Yes,Electronic Check,No,No internet service,No internet service,1,25.9,1678.84,0
CUST_0134,Female,0,No,No,4,One-Year,No,Credit Card (automatic),Fiber Optic,Yes,Yes,1,88.79,371.07,1
CUST_0135,Female,0,Yes,Yes,38,One-Year,Yes,Electronic Check,No,No internet service,No internet service,2,21.17,800.75,0
CUST_0136,Female,0,Yes,Yes,60,One-Year,No,Bank Transfer (automatic),Fiber Optic,No,Yes,1,84.05,5019.92,0
CUST_0137,Male,0,No,No,57,Two-Year,Yes,Electronic Check,No,No internet service,No internet service,0,22.77,1297.33,0
CUST_0138,Female,0,No,Yes,51,Month-to-Month,No,Credit Card (automatic),DSL,No,No,3,43.99,2224.58,0
CUST_0139,Female,0,No,No,4,Month-to-Month,Yes,Credit Card (automatic),Fiber Optic,No,Yes,3,85.95,341.99,0
CUST_0140,Male,0,Yes,Yes,37,Month-to-Month,Yes,Bank Transfer (automatic),Fiber Optic,Yes,No,2,83.97,3095.47,0
CUST_0141,Male,0,No,Yes,48,Two-Year,No,Electronic Check,Fiber Optic,No,Yes,2,82.35,4149.68,0
CUST_0142,Male,0,No,No,72,One-Year,Yes,Electronic Check,DSL,Yes,No,2,55.29,3828.19,0
CUST_0143,Female,0,Yes,No,14,One-Year,Yes,Bank Transfer (automatic),No,No internet service,No internet service,2,18.5,253.44,0
CUST_0144,Female,0,No,No,63,Month-to-Month,No,Electronic Check,DSL,Yes,Yes,2,61.33,3752.04,0
CUST_0145,Female,0,Yes,Yes,59,One-Year,Yes,Bank Transfer (automatic),No,No internet service,No internet service,0,18.5,1096.32,0
CUST_0146,Male,0,Yes,Yes,70,One-Year,Yes,Bank Transfer (automatic),DSL,No,No,0,44.38,2952.14,0
CUST_0147,Female,0,Yes,No,68,One-Year,Yes,Credit Card (automatic),No,No internet service,No internet service,0,18.5,1310.97,0
CUST_0148,Female,0,Yes,No,30,Month-to-Month,Yes,Electronic Check,DSL,Yes,No,1,58.38,1756.85,1
CUST_0149,Female,0,No,No,46,Two-Year,No,Bank Transfer (automatic),Fiber Optic,No,Yes,0,85.29,4078.73,0
CUST_0150,Female,0,No,Yes,26,Month-to-Month,Yes,Credit Card (automatic),DSL,No,No,0,40.0,1023.88,0
CUST_0151,Male,0,No,No,31,One-Year,Yes,Mailed Check,Fiber Optic,No,No,1,72.2,2159.85,0
CUST_0152,Male,0,No,No,60,One-Year,Yes,Credit Card (automatic),No,No internet service,No internet service,0,19.89,1156.68,0
CUST_0153,Female,0,Yes,No,2,Month-to-Month,No,Electronic Check,Fiber Optic,Yes,No,1,75.11,149.78,1
CUST_0154,Female,0,No,No,2,Month-to-Month,No,Bank Transfer (automatic),Fiber Optic,No,Yes,2,85.63,163.39,0
CUST_0155,Female,0,No,No,56,Two-Year,Yes,Credit Card (automatic),Fiber Optic,No,No,0,66.26,3815.13,0
CUST_0156,Male,0,Yes,No,5,Month-to-Month,Yes,Electronic Check,DSL,No,No,0,55.28,284.43,1
CUST_0157,Female,1,No,No,22,Month-to-Month,Yes,Mailed Check,Fiber Optic,No,Yes,1,86.67,1945.25,0
CUST_0158,Male,0,No,No,15,Month-to-Month,Yes,Electronic Check,No,No internet service,No internet service,4,19.43,303.0,1
CUST_0159,Male,0,No,No,71,Month-to-Month,Yes,Bank Transfer (automatic),Fiber Optic,No,Yes,2,81.99,5850.09,0
CUST_0160,Female,0,No,No,30,Month-to-Month,No,Bank Transfer (automatic),Fiber Optic,Yes,No,0,76.43,2288.16,1
CUST_0161,Female,0,Yes,No,71,Month-to-Month,No,Electronic Check,Fiber Optic,No,No,2,77.03,5485.09,0
CUST_0162,Male,0,Yes,Yes,50,One-Year,Yes,Bank Transfer (automatic),Fiber Optic,No,Yes,1,78.6,3805.01,0
CUST_0163,Male,0,Yes,Yes,15,One-Year,Yes,Credit Card (automatic),Fiber Optic,Yes,No,5,82.17,1234.06,0
CUST_0164,Male,0,No,Yes,57,One-Year,Yes,Credit Card (automatic),Fiber Optic,No,Yes,1,79.43,4546.42,1
CUST_0165,Male,0,No,No,20,Month-to-Month,No,Bank Transfer (automatic),Fiber Optic,Yes,Yes,2,95.84,1967.52,0
CUST_0166,Female,0,No,Yes,39,Month-to-Month,No,Mailed Check,Fiber Optic,No,No,0,69.92,2685.41,0
CUST_0167,Female,0,Yes,No,70,One-Year,Yes,Credit Card (automatic),Fiber Optic,Yes,Yes,1,91.5,6143.82,0
CUST_0168,Male,1,Yes,No,67,One-Year,No,Mailed Check,DSL,Yes,Yes,1,70.86,4793.89,0
CUST_0169,Female,0,No,No,6,Month-to-Month,Yes,Bank Transfer (automatic),Fiber Optic,Yes,Yes,1,100.02,617.4,1
CUST_0170,Female,0,No,No,10,Month-to-Month,Yes,Bank Transfer (automatic),Fiber Optic,No,Yes,4,82.2,860.6,0
CUST_0171,Female,0,Yes,Yes,14,One-Year,Yes,Mailed Check,Fiber Optic,No,Yes,2,73.24,983.35,0
CUST_0172,Male,0,No,No,56,One-Year,Yes,Electronic Check,DSL,No,No,3,46.5,2668.15,0
CUST_0173,Female,0,No,No,16,One-Year,Yes,Electronic Check,Fiber Optic,No,Yes,2,76.09,1229.11,1
CUST_0174,Male,0,No,No,28,Month-to-Month,Yes,Mailed Check,DSL,Yes,Yes,1,63.52,1692.36,0
CUST_0175,Male,0,No,No,27,Two-Year,Yes,Mailed Check,No,No internet service,No internet service,2,18.5,510.4,0
CUST_0176,Male,0,Yes,Yes,5,Month-to-Month,Yes,Credit Card (automatic),Fiber Optic,Yes,No,2,84.82,404.01,1
CUST_0177,Male,0,No,No,12,Month-to-Month,No,Mailed Check,Fiber Optic,No,Yes,2,76.19,940.36,0
CUST_0178,Male,0,No,Yes,6,Two-Year,Yes,Electronic Check,Fiber Optic,No,Yes,0,85.95,527.11,0
CUST_0179,Male,0,Yes,Yes,2,Month-to-Month,No,Mailed Check,Fiber Optic,Yes,No,1,85.24,173.68,1
CUST_0180,Male,1,Yes,No,23,Month-to-Month,Yes,Electronic Check,Fiber Optic,Yes,No,0,78.55,1738.0,1
CUST_0181,Female,0,No,No,50,Month-to-Month,Yes,Electronic Check,DSL,No,No,1,46.92,2444.31,1
CUST_0182,Female,0,Yes,Yes,7,Month-to-Month,Yes,Electronic Check,No,No internet service,No internet service,0,24.71,179.87,0
CUST_0183,Male,0,Yes,No,46,Two-Year,Yes,Electronic Check,Fiber Optic,Yes,No,1,79.67,3811.51,0
CUST_0184,Female,0,No,No,44,Two-Year,Yes,Electronic Check,Fiber Optic,No,No,0,74.93,3250.88,0
CUST_0185,Female,0,Yes,No,67,Two-Year,Yes,Electronic Check,DSL,No,Yes,2,57.68,3861.54,0
CUST_0186,Female,0,No,Yes,40,One-Year,No,Credit Card (automatic),Fiber Optic,No,Yes,0,79.24,3047.54,0
CUST_0187,Male,0,Yes,Yes,42,Two-Year,No,Electronic Check,Fiber Optic,Yes,Yes,2,97.3,3903.15,0
CUST_0188,Female,0,No,No,29,One-Year,No,Electronic Check,DSL,Yes,No,2,54.09,1499.4,0
CUST_0189,Female,0,Yes,Yes,42,One-Year,Yes,Credit Card (automatic),Fiber Optic,Yes,No,1,87.54,3701.96,0
CUST_0190,Female,0,Yes,Yes,59,One-Year,Yes,Bank Transfer (automatic),DSL,No,No,1,40.39,2340.45,0
CUST_0191,Male,0,Yes,No,16,One-Year,Yes,Electronic Check,Fiber Optic,Yes,No,2,87.24,1406.94,0
CUST_0192,Female,0,No,No,25,Two-Year,No,Electronic Check,DSL,No,No,3,45.87,1157.38,0
CUST_0193,Female,0,No,No,21,One-Year,No,Bank Transfer (automatic),DSL,Yes,No,2,59.85,1308.01,0
CUST_0194,Female,0,Yes,Yes,61,Month-to-Month,No,Bank Transfer (automatic),Fiber Optic,No,No,1,68.43,4333.8,0
CUST_0195,Male,0,No,No,24,Month-to-Month,Yes,Electronic Check,Fiber Optic,No,Yes,2,83.57,2049.52,0
CUST_0196,Male,0,No,No,16,Two-Year,Yes,Electronic Check,Fiber Optic,Yes,No,2,71.88,1186.71,0
CUST_0197,Female,0,No,No,41,Two-Year,Yes,Credit Card (automatic),No,No internet service,No internet service,1,20.87,813.16,0
CUST_0198,Female,0,Yes,No,21,Month-to-Month,Yes,Bank Transfer (automatic),DSL,Yes,Yes,0,63.75,1273.89,0
CUST_0199,Male,0,No,No,42,One-Year,Yes,Mailed Check,Fiber Optic,Yes,No,2,84.99,3554.8,0
CUST_0200,Female,0,Yes,Yes,60,Two-Year,Yes,Electronic Check,DSL,No,Yes,1,54.86,3342.19,0
CUST_0201,Male,0,Yes,No,3,One-Year,Yes,Electronic Check,DSL,Yes,Yes,2,66.82,206.36,0
CUST_0202,Female,0,No,No,4,Month-to-Month,Yes,Mailed Check,No,No internet service,No internet service,2,18.5,73.61,0
CUST_0203,Female,0,No,No,21,Month-to-Month,Yes,Credit Card (automatic),Fiber Optic,No,No,3,70.74,1550.93,0
CUST_0204,Female,0,Yes,Yes,20,One-Year,No,Electronic Check,No,No internet service,No internet service,0,18.5,381.65,0
CUST_0205,Female,0,Yes,No,66,Month-to-Month,Yes,Credit Card (automatic),Fiber Optic,Yes,No,2,81.79,5183.7,0
CUST_0206,Male,0,No,No,13,Two-Year,Yes,Electronic Check,No,No internet service,No internet service,2,18.69,241.52,0
CUST_0207,Female,0,No,No,48,Month-to-Month,No,Mailed Check,Fiber Optic,Yes,No,2,77.9,3924.24,1
CUST_0208,Male,0,Yes,No,21,One-Year,Yes,Electronic Check,Fiber Optic,No,No,2,68.45,1424.5,0
CUST_0209,Female,0,No,No,56,Two-Year,Yes,Bank Transfer (automatic),No,No internet service,No internet service,3,18.5,1024.22,0
CUST_0210,Female,1,Yes,Yes,3,Month-to-Month,No,Mailed Check,DSL,Yes,No,1,60.88,178.88,0
CUST_0211,Female,0,Yes,Yes,69,One-Year,Yes,Bank Transfer (automatic),Fiber Optic,Yes,No,1,86.55,5963.88,0
CUST_0212,Male,0,No,No,2,Month-to-Month,Yes,Bank Transfer (automatic),DSL,Yes,No,3,51.72,105.82,0
CUST_0213,Female,0,Yes,Yes,53,Two-Year,Yes,Mailed Check,Fiber Optic,No,No,2,70.77,3581.08,0
CUST_0214,Male,0,Yes,No,58,One-Year,Yes,Bank Transfer (automatic),Fiber Optic,No,No,0,68.88,4129.16,0
CUST_0215,Male,0,No,No,59,One-Year,Yes,Electronic Check,Fiber Optic,Yes,No,1,78.48,4823.67,0
CUST_0216,Female,0,No,No,45,Two-Year,Yes,Bank Transfer (automatic),Fiber Optic,No,No,0,70.58,3265.38,0
CUST_0217,Male,0,Yes,Yes,35,One-Year,Yes,Electronic Check,DSL,No,No,4,46.88,1709.0,0
CUST_0218,Female,0,No,No,11,Month-to-Month,No,Mailed Check,Fiber Optic,No,No,0,59.35,626.4,0
CUST_0219,Male,0,No,No,47,One-Year,Yes,Credit Card (automatic),Fiber Optic,Yes,No,1,86.02,4022.77,0
CUST_0220,Male,0,Yes,No,24,One-Year,No,Electronic Check,No,No internet service,No internet service,1,22.84,524.65,0
